fiscal_year,total_residences,market_rate_residences,affordable_residences,pct_affordable,pct_very_low_and_low_income,city_funded_affordable_residences,pct_affordable_city_funded,prop_r_compliance
1994-95,11,9,2,18,18,0,0,N/A
1995-96,0,0,0,0,0,0,0,N/A
1996-97,108,10,98,91,36,95,97,Yes
1997-98,111,43,68,61,40,60,88,Yes
1998-99,168,22,146,87,33,91,62,No
1999-00,166,43,123,74,72,120,98,Yes
2000-01,420,311,109,26,14,20,18,N/A
2001-02,702,491,211,30,22,110,52,Yes
2002-03,212,211,1,0,0,0,0,N/A
2003-04,235,195,40,17,12,13,33,N/A
2004-05,55,29,26,47,27,0,0,No
2005-06,39,37,2,5,0,0,0,N/A
2006-07,272,186,86,32,32,85,99,Yes
2007-08,296,201,95,32,32,91,96,Yes
2008-09,537,289,248,46,15,82,33,No
2009-10,189,169,20,11,7,20,100,N/A
2010-11,134,126,8,6,6,0,0,No
2011-12,156,55,101,65,2,0,0,No
2012-13,483,237,246,51,31,145,59,Yes
2013-14,458,201,257,56,56,253,98,Yes
2014-15,157,127,30,19,7,0,0,N/A
2015-16,175,141,34,19,19,32,94,N/A
2016-17,100,87,13,13,12,0,0,N/A
2017-18,46,44,2,4,2,0,0,N/A
2018-19,116,48,68,59,58,0,0,No
2019-20,85,78,7,8,5,0,0,No
2020-21,559,458,101,18,17,39,39,N/A
2021-22,268,211,57,21,20,40,70,N/A
2022-23,484,320,164,34,32,158,96,Yes
2023-24,275,184,91,33,32,106,100,N/A
2024-25,72,14,58,79,25,0,0,No
